0.10275E-02 0.33375E-05 0.00000E+01 900120 0 0 20146 0.19610E+08 0.00000E+01 0.10275E-02 0.00000E+01 0.00000E+01 0
1 0.0010207 5.2331e-05 5.127 0.22353 0.0010207
2 0.0010336 2.6833e-05 3.6714 0.16001 0.0010336
3 0.0010026 1.0299e-05 2.0546 0.05726 0.0010026
4 0.0010763 6.6792e-05 6.2055 0.31164 0.0010763
5 0.001042 2.5697e-05 3.4877 0.19827 0.001042
6 0.0010306 1.0734e-05 2.083 0.051077 0.0010306
7 0.0010339 6.7486e-05 6.5272 0.4351 0.0010339
8 0.0010651 2.7572e-05 3.661 0.17204 0.0010651
9 0.0010369 1.0787e-05 2.0807 0.072151 0.0010369
10 0.0010482 9.5212e-05 9.0836 0.85495 0.0010482
11 0.0010589 2.6889e-05 3.5911 0.22361 0.0010589
12 0.0010418 1.1058e-05 2.1228 0.069014 0.0010418
13 0.0009786 4.0588e-05 4.1475 0.105 0.0009786
14 0.0010197 2.1949e-05 3.044 0.13314 0.0010197
15 0.0010396 1.1076e-05 2.131 0.067652 0.0010396
16 0.00095546 3.9514e-05 4.1356 0.15722 0.00095546
17 0.001038 2.8346e-05 3.8618 0.23036 0.001038
18 0.001021 1.0464e-05 2.0497 0.059724 0.001021
19 0.0010246 6.36e-05 6.2073 0.28676 0.0010246
20 0.0010409 2.551e-05 3.4659 0.19782 0.0010409
21 0.0010266 1.0631e-05 2.0712 0.064469 0.0010266
22 0.0010279 6.5434e-05 6.366 0.35637 0.0010279
23 0.0010359 2.1891e-05 2.9886 0.086163 0.0010359
24 0.0010362 1.0915e-05 2.1065 0.063368 0.0010362
25 0.0010338 6.6087e-05 6.3926 0.31788 0.0010338
26 0.00098612 1.8813e-05 2.698 0.069475 0.00098612
27 0.0010198 1.0723e-05 2.1029 0.061678 0.0010198
28 0.00090975 4.0991e-05 4.5057 0.14815 0.00090975
29 0.0010555 2.474e-05 3.3147 0.14169 0.0010555
30 0.0010299 1.1328e-05 2.1997 0.067567 0.0010299
31 0.00096893 4.1114e-05 4.2432 0.16096 0.00096893
32 0.0009959 2.1055e-05 2.99 0.13703 0.0009959
33 0.001019 1.1043e-05 2.1673 0.073748 0.001019
34 0.0010103 4.9918e-05 4.941 0.2359 0.0010103
35 0.0010343 2.3094e-05 3.1578 0.14717 0.0010343
36 0.001035 1.0672e-05 2.0622 0.064655 0.001035
<lo_statistics>
<cumulated_time> 38.990370999999996 </cumulated_time>
</lo_statistics>
